ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
564A,Global X S&P Developed Cash Flow Top 100 ETF,-30259.3085842,550000,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
,BHP GROUP LTD,AU000000BHP4,XASX,AUD,1322,65.75
,CARSALES COM LTD ORD,AU000000CAR3,XASX,AUD,109,28.46
,FORTESCUE METALS GROUP LTD,AU000000FMG4,XASX,AUD,472,17.95
,PRO MEDICUS LTD,AU000000PME8,XASX,AUD,31,206.01
,REA GROUP LTD,AU000000REA9,XASX,AUD,19,178.74
,TECHNOLOGY ONE LTD,AU000000TNE8,XASX,AUD,115,32.46
,WISETECH GLOBAL LTD,AU000000WTC3,XASX,AUD,54,43.19
,CONSTELLATION SOFTWARE INC,CA21037X1006,XTSE,CAD,4,3075.89
,DESCARTES SYS,CA2499061083,XTSE,CAD,25,107.39
,DOLLARAMA INC,CA25675T1075,XTSE,CAD,56,187.3
,TMX GROUP INC COM,CA87262K1057,XTSE,CAD,60,52.24
,GEBERIT AG,CH0030170408,XSWX,CHF,9,571.6
,LOGITECH INTERNATIONAL SA,CH0025751329,XSWX,CHF,28,76.42
,ROCHE HOLDING AG,CH1499059983,XSWX,CHF,191,371.8
,NOVARTIS AG,CH0012005267,XSWX,CHF,539,126.34
,NOVO NORDISK A/S,DK0062498333,XCSE,DKK,1493,296.15
,ASML HOLDING NV,NL0010273215,XSWX,CHF,115,1410.8
,ADYEN NV,NL0012969182,XAMS,EUR,18,1062.8
,HERMES INTERNATIONAL SCA,FR0000052292,XPAR,EUR,10,1549.5
,INDUSTRIA DE DISENO TEXTIL SA,ES0148396007,XMAD,EUR,291,57.58
,DEUTSCHE BOERSE AG,DE0005810055,XETR,EUR,50,279.6
,HAPAG-LLOYD AG,DE000HLAG475,XETR,EUR,12,134.3
,AUTO TRADER GROUP PLC,GB00BVYVFW23,XLON,GBP,488,5.274
,RELX PLC,GB00B2B0DG97,XLON,GBP,544,25.87
,EXPERIAN PLC,GB00B19NLV48,XLON,GBP,256,29.66
,HONG KONG EXCHANGES & CLEARING ORD,HK0388045442,XHKG,HKD,500,417.8
