ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
178A,Global X Innovative Bluechip Top 10+ ETF,1313377.59862,2850000,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
,CONTEMPORARY AMPEREX TECHN-A,CNE100003662,XSHE,CNY,28900,391.15
,BYD CO LTD -A,CNE100001526,XSHE,CNY,118200,90.47
,APPLE INC,US0378331005,XNAS,USD,6760,311.3
,ALPHABET INC-CL A,US02079K3059,XNAS,USD,5551,340.67
,MICROSOFT CORP,US5949181045,XNAS,USD,4748,481.15
,NVIDIA CORP,US67066G1040,XNAS,USD,9335,216.85
,ASML HOLDING NV-NY REG SHS,USN070592100,XNAS,USD,1191,1750.31
,TAIWAN SEMICONDUCTOR-SP ADR,US8740391003,XNYS,USD,4751,416.0
,AMAZON.COM INC,US0231351067,XNAS,USD,7387,260.11
,BROADCOM INC,US11135F1012,XNAS,USD,4739,364.03
,META PLATFORMS INC,US30303M1027,XNAS,USD,2796,545.83
,ELI LILLY & CO,US5324571083,XNYS,USD,1874,1244.4
,ORACLE CORP,US68389X1054,XNYS,USD,12752,142.07
,AMGEN INC,US0311621009,XNAS,USD,5016,431.21000000000004
,PALANTIR TECHNOLOGIES INC,US69608A1088,XNAS,USD,13750,173.96
,nan,CASHUSDJPY01,,USD,243318.23,0.006283775
,nan,CASHCNHJPY01,,CNH,267731.01,0.042267927
,NYSE FANG+ Idx Fu Sep26,,ICE,USD,3.0,18375.6
